Author,Description,Gener,title
Herge,"The 22nd part of the canonical series, Tintin Flight 714 To Sydney is a graphic comic novel that blends adventure and humor with an interesting plot. The story is about Tintin's plane trip to Sydney and all the things that go wrong on the way. It is considered a unique volume of the franchise due to the inclusion of paranormal influences and science fiction.Summary Of The BookThe Adventures Of Tintin is one of the most famous European comic book series by Herge. Tintin, the hero the tales set in the 20th century, is a Belgian reporter. Originally written in French, all the Tintin comics have been translated into over 70 languages across the world. The series that started in 1929 as a comic strip in a Belgian newspaper's children's supplement, turned out to release 24 stand alone albums owing to Tintin's popularity among children and young adults.In Tintin Flight 714 To Sydney, Tintin's adventure begins when he, along with his friends, Professor Calculus and Captain Haddock, take a plane to Sydney to attend a conference on space exploration. Its during a pit stop in Jakarta that they meet Laszlo Carreidas, an eccentric millionaire and an aircraft industrialist, and innocently accept his offer to continue the rest of their journey in his personal jet.As Tintin's entourage proceeds on the jet ride, they find out about the crew's plan to kidnap Carreidas and also become a part of the venomous hijack. They then meet Rastapopoulos, the evil mastermind behind the plan who keeps them imprisoned in a deserted island prone to volcanic eruptions. The rest of the book is an intriguing journey where Tintin leads his team with the help of a telepathic voice, loses Snowy and comes across many challenges including an earthquake and a volcano.The author keeps intertwined the elements of humor and action without compromising on the art, while the book offers fascinating bits on telepathy and space travel.About HergeHerge was the pen name of Georges Prosper Remi, a Belgian comic writer and cartoonist.Some of his other works include Totor, Quick And Flupke, The Adventures Of Tom And Millie and Mr. Bellum.Herge was born in 1907 in Etterbeek, Brussels. After his initial schooling, he studied at Saint-Boniface, where his affinity for drawing blossomed despite the lack of formal training. His first published work was a strip in his school's Scout Paper in 1922. Herge began his career with Le XXe SiÃÂÃÂ¨cle. Ligne Claire, his exclusive drawing style, and The Adventures Of Tintin have ever since kept him on the list of one of the top cartoonists on 20th century. Several parts of the Tintin series have featured on TV, radio and films. In addition to the Adamson Award, the Light of Truth Award and others, Remi was also inducted in 2003 to the Eisner Award Hall of Fame.",Juvenile Fiction  ,Flight 714 to Sydney
Watterson Bill,"Calvin and Hobbes is unquestionably one of the most popular comic strips of all time. The imaginative world of a boy and his real-only-to-him tiger was first syndicated in 1985 and appeared in more than 2,400 newspapers when Bill Watterson retired on January 1, 1996. The entire body of Calvin and Hobbes cartoons was originally published in hardcover as a truly noteworthy tribute to this singular cartoon in The Complete Calvin and Hobbes. Available for the first time in paperback, these four full-color volumes in a sturdy slipcase include all the Calvin and Hobbes cartoons that ever appeared in syndication. This is the treasure that all Calvin and Hobbes fans seek",Humor  ,The Complete Calvin and Hobbes
Anne Frank,"""Anne Frank's diary needs no introduction. This beautifully written memoir of a young girl caught in the middle of one of the most horrific periods of human history, is a testament to the indestructible human will to persevere and survive in the face of the most adverse of circumstances. Where Anne Frank herself became one of the victims of the Second World War, her words, crowding every available inch of space in her diary, survived to keep her story and her memory alive for the rest of the world through the ages . . ",Classics  ,Diary Of a Young Girl
David Michie," 'Wouldn 't it be wonderful if newspapers did more to share stories and insights that were really meaningful? Things that might help people lead more purposeful lives. ' The Queen glanced over at him, uncertainly. 'Tricky business, persuading the media to lift their sights from terror and trivia. Every one of us has tried. ' Pushing myself up so that I was balancing on my rear end, I fixed Kate with a pleading expression. She was a soft touch when it came to scones. There was a pause while the family glanced in my direction. Before Kate said, 'Well, not every family member. 'Rescued from unscrupulous breeders who plan to destroy him because of his floppy ear, when the Queen 's littlest corgi arrives at Windsor Castle, he finds himself in a world of red carpets, gilded chambers - and not a pile of dirty laundry to be seen.Charming his way into the affections of the royal household, Nelson offers a dog 's-eye view of life with the Queen. He eavesdrops on her encounters with celebrities, philanthropists and advisers, catching rare insights into the secrets of a purposeful life. Through one of Her Majesty 's most mysterious advisers, he discovers how the ancient ways and powerful symbols continue to exert a transformative presence. He also becomes familiar with the Queen 's most surprising quality: her gentle but firm expectation that everyone she encounters is striving to be the best that they can be.The Queen 's Corgi bursts with zest, humour and adventure. Romping through the litany of Nelson 's misdemeanours are a warm-heartedness and deep wisdom sure to delight anyone who has known the smiling face and warm tongue of a dog. It is not by chance that you hold this book in your hands.""In the tradition of David Michie's bestselling The Dalai Lama's Cat series, this charming, poignant and humorous novel about a dog's life with the royal family packs a deceptively powerful punch as it offers profound life lessons that will leave the reader transformed at a deeper level.""- Ingrid King, award winning author of Buckley's Story and publisher of The Conscious Cat.""Narrated by a plucky pup of humble beginnings, The Queen's Corgi offer's a delightful dogs-eye-view of the most famous royal residence in the world. A tail-wagging treat!""- Julia Williams, CANIDAE RPO Blog Editor""Delightfully engaging and with an intriguing mystical flavour, this book not only entertains - it also takes us on a fascinating inner journey. David weaves in wise nuggets of wisdom which will make you stop, ponder and want to apply to your own life. Another glorious book from David Michie!""- Tara Taylor, Intuitive Counselor, Motivational Speaker and Hay House Author of Through Indigo's Eyes series.""Readers who fell in love with The Dalai Lama's Cat, the wise and shining feline star of the book series, have new cause for happiness: a charming new""rags to royalty"" book by David Michie featuring a dog as the narrator - and an all-access pass for behind-the-scenes palace life.""- Layla Morgan Wilde, founder and editor of Cat Wisdom.""The Queen 's Corgi captives from first page to last as the adorable puppy escapes death, and is carried into Windsor Castle to begin life as a royal corgi. David Michie 's compelling writing style will keep you turning the pages of this heart-warming book with an understanding of dogs and the mysteries of life. Dog lovers of all ages will fall in love with The Queen 's Corgi. Highly Recommended!""- Darlene Arden, Author of Small Dogs, Big Hearts: A Guide to Caring for your Little Dog",Fiction  ,The Queen's Corgi - On Purpose - A Novel
Jeph Loeb,"The Long Halloween is one of the best works that has come out from the collaboration of Joseph Loeb and Tim Sale. The story is set around mobsters being murdered during the Holidays and this volume also sees the major transition in Harvey DentÃÂÃÂs character, from Gotham cityÃÂÃÂs district attorney to Two-Face.Summary of the BookTaking place during Batman's early days of crime fighting, this edition of the classic mystery is the story of a killer who murders his prey only on holidays. Batman races against time as he tries to find the notorious Holiday working with Harvey Dent and Lieutenant James Gordon. The story also sees the transformation of Harvey dent into, Two-Face.About JephÃÂ LoebJeph Loeb is an award-winning comic writer and a famous American film writer and producer. He is a four-time Eisner Award winner and five-time Wizard Fan Awards winner. He has worked on major characters like Hulk, Spider man, Iron Man, Daredevil, and the Avengers, most of it in collaboration with Tim Sale.",Comics & Graphic Novels  ,Batman: The Long Halloween
Sattouf Riad,"VOLUME 3 IN THE UNFORGETTABLE STORY OF AN EXTRAORDINARY CHILDHOOD Praise for The Arab of the Future series 'I TORE THROUGH IT... THE MOST ENJOYABLE GRAPHIC NOVEL I'VE READ IN A WHILE' Zadie Smith 'I JOYOUSLY RECOMMEND THIS BOOK TO YOU' Mark Haddon 'RIAD SATTOUF IS ONE OF THE GREAT CREATORS OF OUR TIME' Alain De Botton 'A MASTERPIECE' Posy Simmonds | 'EXCELLENT' Guardian | 'Truly fantastic' Vulture After having followed her husband to Libya and then to Syria, Riad's mother can't take any more of village life in Ter Maaleh: she wants to go back to France. Young Riad sees his father torn between his wife's aspirations and the weight of family traditions... The Arab of the Future tells the story of Riad Sattouf's childhood in the Middle East. The first volume covers the period from 1978 to 1984: from birth to the age of six, little Riad is shuttled between Libya, Brittany and Syria. The second volume tells the story of his first year of school in Syria (1984-1985). This third volume sees him between the ages of six and nine, the time he becomes aware of the society he is growing up in. Can you celebrate Christmas in Ter Maaleh? Were there video clubs in Homs? How do children of eight fast for Ramadan? Was Conan the Barbarian circumcised? Were Breton villagers kinder to their animals than their Syrian counterparts? How far will Riad go to please his father? And how far will his father go to become an important man in the Syria of Hafez Al-Assad? Translated by Sam Taylor. ***THE ARAB OF THE FUTURE - THE INTERNATIONAL SENSATION*** 1 MILLION COPIES SOLD WORLDWIDE | #1 BESTSELLER IN FRANCE | GUARDIAN 'BEST GRAPHIC BOOKS OF 2015' PICK | NY TIMES EDITOR'S CHOICE |",Comics & Graphic Novels  ,The Arab of the Future 3
Sir Doyle Arthur Conan,"The Complete Sherlock Holmes is the collection of all 56 stories and 4 novels starring the genius detective Sherlock Holmes and his loyal sidekick Watson by Arthur Conan Doyle.Summary of the BookJames Watson MD, could not have picked a stranger roommate. He didnÃÂÃÂt think much of Sherlock Holmes at first though, but he was very mistaken. Sherlock Holmes was a consultant detective, one whose opinion Scotland Yard needed time and again. This collection brings readers all the stories, including A Study in Scarlet, The Sign of the Four, The Hound of the Baskervilles, The Valley of Fear, The Adventures of Sherlock Holmes, The Memoirs of Sherlock Holmes, The Return of Sherlock Holmes, His Last Bow, and The Case-Book of Sherlock Holmes. Join Holmes and Watson as they tackle boredom with by solving murders, crimes and mysteries most macabre.About Arthur Conan DoyleSir Arthur Conan Doyle was a Scottish writer and physician best known for his mystery novels and short stories featuring Sherlock Holmes. He is also famous for his Professor Challenger series detailed in: The Lost World, The Poison Belt and The Land of Mist.Doyle studied medicine at the University of Edinburgh. He was knighted in 1902 by King Edward for his services as a volunteer doctor in the Langman Field Hospital at Bloemfontein between March and June 1900.",Fiction  ,The Complete Sherlock Holmes - All 56 Stories & 4 Novels
Riordan Rick,"This graphic novel brings alive Rick RiordanÃÂÃÂs epic fantasy novel, Percy Jackson and the Lightning Thief, for fans everywhere. Relive the magic of the first book of Percy Jackson and the Olympians now!Summary of the BookPercy Jackson thinks heÃÂÃÂs an ordinary twelve year old boy. He doesnÃÂÃÂt know how wrong he is. His mother hasnÃÂÃÂt told him the truth about his father. The man they live with now is a despicable man, a man his mother tolerates only because he offers some modicum of protection. However, PercyÃÂÃÂs real father is not an ordinary man. He has a secret job that forces him to stay away from Percy at all times. Percy can never meet him, because he has too many enemies. No, his dad isnÃÂÃÂt a secret government official: heÃÂÃÂs a God, the God of the Oceans: Poseidon!About Rick RiordanRick Riordan is an American writer. He is best known for his series Tres Navarre and Percy Jackson and the Olympians.Riordan graduated from the University of Texas. The Percy Jackson series was adapted into two films of a supposedly planned trilogy. The films starred Logan Lerman as the titular character.Series Reading OrderThis is the first issue of the graphic novel adaptation of Rick RiordanÃÂÃÂs first book. If youÃÂÃÂre aching for more, go ahead and buy the second issue now! If youÃÂÃÂre impatient, youÃÂÃÂll want to buy the novels: Percy Jackson and the Lightning Thief and its sequel: The Sea of Monsters.",Juvenile Fiction  ,Percy Jackson and the Lightning Thief: The Graphic Novel 
Stilton Geronimo,"This time, in the Geronimo Stilton adventure series, Stilton is all set for a new adventure ÃÂÃÂ cooking!Summary of the BookIn this title, Geronimo Stilton must learn how to cook. There is going to be a major event called The Super Chef Contest, and the winner is going to be declared the best chef on Mouse Island! But Geronimo is assisting his cousin, Trap, who has resolved to enter the contest. Will Geronimo help Trap win the competition, although cooking is a new art that he needs to master?About Geronimo StiltonGeronimo Stilton, a talking mouse, is a best-selling author living in New Mouse City. He works as a journalist and editor for The RodentÃÂÃÂs Gazette. Geronimo Stilton was created by Elisabetta Dami and popularized in a series of novels published by Edizioni Piemme of Milan, Italy. Since the characterÃÂÃÂs conception, many writers have continued the series.",Juvenile Fiction  ,The Super Chef Contest
Pai Anant,"Amar Chitra Katha is certainly considered as one of the best graphic novels developed in India. Varied stories in this History Collection are sure to inculcate thoughts of courage and wisdom in the readersÃÂÃÂ mind.Summary of the BookHistory Collection is a compilation of Amar Chitra KathaÃÂÃÂs best stories. This book includes 10 titles, namely Hiuen Tsang, Shah Jahan, Raja Raja Chola, Ashoka, Rani Of Jhansi, The Legend Of Lalit Aditya Rana Sanga, Akbar, Bajirao and The Historic City Of Delhi. These stories are of courage and power, thus making the readers understand the importance of courage.About Anant PaiAnant Pai popularly known as Uncle Pai is the pioneer of Indian comics. He the creator of the Amar Chitra Katha Series, the famous Tinkle books and Suppandi comics.",Juvenile Nonfiction  ,History Collection
Wiesner Karen,"Amethyst, WI is a small, peaceful town on a pristine lake with an active tourist season in summer. When the air turns chill, the area is transformed into a ghost town with only a handful of lifers who stay. Populated with colorful characters, Amethyst is bursting with mystery, romance, and jealousy. Come and visit a place where anything is possible all-year-round. Every rose has its thorn...Reece Childs finally has his rose--Lona Rose, that is, and life seems perfect. Reece can't imagine a thorn from his past could destroy his present and future happiness. He'd had no clue that Angelina, his ""port"" in the city he made his most frequent run to when he was a truck driver, was pregnant. Now she's in Amethyst, demanding that he be a father and provider to their son. Even to keep Lona happy, Reece can't turn away from his own son...",Fiction  ,"Rose and Thorn, Book 6, an Adventures in Amethyst Series Novel"
Allison Brennan,"Silence is deadly. The murder of eighteen-year-old Angie Vance was exceptionally vile-her mouth was sealed with glue, an obscenity scrawledwas across her skin, and she was suffocated in a garbage bag. The killing seems personal, so police detective Carina Kincaid focuses her efforts on the victim's much older ex-boyfriend, Steve Thomas. But without physical evidence, Carina can't make a collar or a case. She also can't stop Sheriff Nick Thomas, the prime suspect's brother, from conducting his own unwelcome investigation. Though Nick is still scarred and unsteady from a recent confrontation with a serial killer, he's determined to prove his brother's innocence. But his confidence is shaken when he learns of Steve's dark side, and when a friend of the murdered girl meets a similarly gruesome fate. With no time to lose, Carina and Nick work together to trap a psychopath, before another unlucky woman faces an unspeakable end. Evil has spoken. Now see what it can do.",Fiction  ,Speak No Evil: A Novel
Chetwynd Catana,"Soppy meets Sarah's Scribbles in this sweet collection of comics about the simple, precious, silly, everyday moments that make up a relationship. What began as stray doodles on scraps of paper became an internet sensation when Catana Chetwynd's boyfriend shared her drawings online. Now, Catana Comics touches millions of readers with its sweet, relatable humor. Little Moments of Love collects just that - the little moments that are the best parts of being with the person you love.",Humor  ,Little Moments of Love
Riordan Rick,"Percy Jackson, who is now a seventh grader, experiences yet another adventure as a demigod in The Sea of Monsters. The book is part of the series of books describing the adventures of Percy Jackson. In this book he need to cross the sea of monsters in order to save his camp from being attacked.Summary of the BookPercy is in his 7th grade at New York prep school campus. What surprises him is that there has been no attack by a monster just as yet. Then one day, when the Percy and his classmates are playing an innocent game of dodge ball, they are attacked by the extremely fierce cannibal giants. He also receives bad news from his friend Annabeth who says that the magical borders of Camp Half Blood has been poisoned by one of their enemies, and if the cure for it is not found then the only safe place for the demigods will be lost. He need to cross the Sea of Monsters if he has to save their land and people.In the meantime, he also discovers a new secret about his family which makes him consider what he must really think of about being the son of the powerful water God Poseidon.",Juvenile Fiction  ,Percy Jackson and the Sea of Monsters 
Foody Amanda,"`Utterly original. Amanda Foody has a wicked imagination.' Stephanie Garber, Sunday Times bestselling author of Caraval Reality is in the eye of the beholder... Even among the many unusual members of the travelling circus that has always been her home sixteen-yea-old Sorina stands apart as the only illusion-worker born in hundreds of years. This rare talent allows her to create illusions that others can see, feel and touch, with personalities all of their own. Her creations are her family, and together they make up the cast of the Festival's Freak Show. But no matter how lifelike they may seem, her illusions are still just that-illusions, and not truly real. Or so she always believed...until one of them is murdered. Now she must unravel the horrifying truth before all her loved ones disappear.",Juvenile Fiction  ,Daughter Of The Burning City - The Dark and Dangerous Tale
SHIVAPRIYA DASH,"Set in Puri, a very famous pilgrim town in eastern India, Bicycle Boys, narrates the lives of five youngsters and their tragic deaths seen through the eyes of a traitor. The characters, caught in the cataclysmic events happening in India in the 1980s &amp; early 90s and in their own desperate personal issues, perish one after another after a murder was committed by them. A murder took place in 1984. The controversial police theory found five friends killed one among themselves over triangular Love. Strangely, those who have seen them long enough remark that the four friends followed their victim, one by one, as if waiting, in a few following years.The story begins sometime in 1980s and ends in early 1990s. As an undercurrent to the story runs the story of India.There are five chapters, five characters &amp; five deaths. The bicycle is a metaphor of socialist, bullock cart, Doordarshan India. The dividing line may be drawn along 1992- the year India opened her socialist eyes to the manufactured wonders of the Wall Street World.",FICTION  ,BICYCLE BOYS - A NOVEL
Rajiv Malhotra,"India is more than a nation state. It is also a unique civilization with philosophies and cosmologies that are markedly distinct from the dominant culture of our times ÃÂÃÂ the West. India's spiritual traditions spring from dharma which has no exact equivalent in Western frameworks. Unfortunately, in the rush to celebrate the growing popularity of India on the world stage, its civilizational matrix is being co-opted into Western universalism, thereby diluting its distinctiveness and potential.In Being Different: An Indian Challenge to Western Universalism, thinker and philosopher Rajiv Malhotra addresses the challenge of a direct and honest engagement on differences, by reversing the gaze, repositioning India from being the observed to the observer and looking at the West from the dharmic point of view. In doing so, he challenges many hitherto unexamined beliefs that both sides hold about themselves and each other. He highlights that while unique historical revelations are the basis for Western religions, dharma emphasizes self-realization in the body here and now. He also points out the integral unity that underpins dharma's metaphysics and contrasts this with Western thought and history as a synthetic unity.Erudite and engaging, Being Different critiques fashionable reductive translations and analyses the West's anxiety over difference and fixation for order which contrast the creative role of chaos in dharma. It concludes with a rebuttal of Western claims of universalism, while recommending a multi-civilizational worldview.",Philosophy  ,BEING DIFFERENT
Herge,"Herge's classic comic book creation Tintin is one of the most iconic characters in children's books. These highly collectible editions of the original 24 adventures will delight Tintin fans old and new. Perfect for lovers of graphic novels, mysteries and historical adventures.The world's most famous travelling reporter is confused by some very strange goings on involving shattering glass and an packet of cigarettes. But can he solve the mystery in time to protect Professor Calculus?Windows, mirrors and chandeliers are spontaneously shattering and Tintin is left flummoxed. After a shooting and a break in, Tintin knows Calculus is in danger, but he has only one clue - an unusual packet of cigarettes. He has a mystery to solve. But can he do it before a terrible weapon falls into the wrong hands?The Adventures of Tintin are among the best books for readers aged 8 and up.Herge (Georges Remi) was born in Brussels in 1907. Over the course of 54 years he completed over 20 titles in The Adventures of Tintin series, which is now considered to be one of the greatest, if not the greatest, comics series of all time. Have you collected all 24 graphic novel adventures?Tintin in the Land of the SovietsTintin in the CongoTintin in AmericaTintin: Cigars of the PharaohTintin: The Blue LotusTintin: The Broken EarTintin: The Black IslandTintin: King Ottakar's SceptreTintin: The Crab with the Golden ClawsTintin: The Shooting StarTintin: The Secret of the UnicornTintin: Red Rackham's TreasureTintin: The Seven Crystal BallsTintin: Prisoners of the SunTintin: Land of Black GoldTintin: Destination MoonTintin: Explorers of the MoonTintin: The Calculus AffairTintin: The Red Sea SharksTintin in TibetTintin: The Castafiore EmeraldTintin: Flight 714 to SydneyThe Adventures of Tintin and the PicarosTintin and Alph-Art",Juvenile Fiction  ,The Calculus Affair
Anant Pai,This pack consists of Shikari Shambus Escapades 3 Kalia The Crow -1 Defective Detectives - 2: Nothing Is As It Seems Suppandi 3 - The Laughter Never Ends Tantri The Mantri 4 - Game To A Throne Paws And Claws,Comics  ,TINKLE TOONS COLLECTION 2
Fernandes Luis,"Tales of Adventure and Mystery, compiled by Luis Fernandes, presents a selection of thrilling stories from 30 years of Tinkle for children aged between 9 and 12.Summary of the BookTreat your children to some of the bestÃÂ Tinkle stories that were a part of your childhood too. Tales of Adventure and Mystery has a collection of stories that were published in the last 30 years of Tinkle. How does Zim Zim outwit Ghotala, the evil magician? What adventure are Janoo and her dragon-friend Wooly going on this time? How does the Betaal, the wily ghost, escape the clutches of Bhoothnath, Vikramaditya's evil cousin? Let your children find out the answers in this dazzling, illustrated book.About Luis FernandesLuis Fernandes has compiled many other books which are usually collections of stories. Some of them are Tales from the Americas, Folktales of Europe, Tales of Magic and Fantasy, and the series of Tinkle Double Digest.About Amar Chitra KathaAmar Chitra Katha is an Indian publishing house majorly known for its publication of graphic novels and comics about Indian mythology. It was founded by Anant Pai.",Comics & Graphic Novels  ,Tales of Adventure and Mystery
Sir Doyle Arthur Conan,"Summary of the BookThis book is a compilation of the four famous Sherlock Holmes novels known as A Study in Scarlet, The Sign of the Four, The Hound of the Baskervilles and The Valley of Fear. Sherlock Holmes has been one of the most beloved fictional characters ever created. Now enjoy the four crime novels in a single book. You will experience suspense, thrill and mystery - everything that made Sherlock Holmes stories a favourite. ",Fiction  ,The Complete Novel of Sherlock Holmes
Ohsaki Tomohito,"A new series of prose novels, straight from the worldwide Naruto franchise. Naruto's allies and enemies take center stage in these fast-paced adventures, with each volume focusing on a particular clanmate, ally, team...or villain.",Comics & Graphic Novels  ,Naruto: Sakura's Story
Amitava Kumar,"ÃÂÃÂThere is a buoyant energy and hilarity to this account of an Indian student seeking the wide world through the women he meets, but one laughs with growing unease as a darker undercurrent is slowly revealed.ÃÂÃÂ ÃÂÃÂKiran DesaiThe Lovers is about a man in search of a love story. This man, our narrator, is KailashÃÂÃÂa new immigrant, eager to shine. His friends teasingly call him Kalashnikov, and sometimes AK-47, even AK. In his account of his years at a university in New York, AK takes us through the bittersweet arc of youth and love. There is discovery and disappointment. There are the brilliant women, Jennifer and Nina and Cai Yan. There is the political texture of campus life and the charismatic professor overseeing these young men and women, Ehsaan Ali (modelled on the real-life Eqbal Ahmad). Manifest in AKÃÂÃÂs first years and first loves is the wild enthusiasm of youth, its idealism, chaotic desires and confusions.A decidedly modern novel that melds story and reportage, anecdote and annotation, picture and text, fragment and essay, The Lovers reminds us of the works of John Berger and Teju Cole. Funny, meditative, and shot through with waves of longing, the book explores feelings of discomfort about cultural misunderstandings and the lack of clarity between men and women. At heart though, it is an investigation of loveÃÂÃÂÃÂÃÂlove despite, or in spite of; love beyond and across dividing linesÃÂÃÂ.",Erotic fiction  ,THE LOVERS - A Novel
